0.147, 0
0.345, 9
0.542, 71
0.74, 137
1.19, 284
1.388, 363
1.614, 433
2.036, 512
2.262, 661
2.488, 740
2.686, 810
2.884, 880
3.109, 960
3.307, 1029
3.505, 1109
3.703, 1179
3.901, 1249
4.127, 1319
4.352, 1398
4.55, 1468
4.972, 1548
5.17, 1698
5.591, 1769
5.817, 1918
6.015, 1999
6.465, 2149
6.691, 2230
6.889, 2311
7.143, 2391
8.236, 2793
8.462, 2874
8.688, 2945
8.886, 3026
9.084, 3096
9.31, 3167
9.536, 3248
9.734, 3330
9.987, 3421
10.213, 3502
10.439, 3573
10.637, 3644
10.834, 3725
11.032, 3796
11.706, 4028
12.24, 4220
12.438, 4301
12.692, 4393
12.918, 4464
13.116, 4535
13.342, 4616
13.539, 4697
13.765, 4768
13.963, 4850
14.189, 4921
14.415, 5002
14.669, 5093
15.091, 5255
15.317, 5326
15.683, 5468
15.937, 5549
16.134, 5631
16.36, 5702
16.586, 5784
16.784, 5865
17.01, 5937
17.236, 6018
17.49, 6120
18.248, 6303
19.173, 6718
19.427, 6810
19.681, 6901
20.355, 7145
