0.146, 0
0.344, 4
0.542, 24
0.768, 52
0.966, 85
1.164, 123
1.362, 170
1.812, 212
2.01, 309
2.208, 364
2.405, 415
2.631, 467
2.829, 528
3.055, 591
3.28, 647
3.478, 712
3.704, 780
3.902, 839
4.324, 968
4.55, 1029
4.75, 1093
4.949, 1166
5.148, 1231
5.346, 1297
5.8, 1439
6.166, 1564
6.364, 1642
6.59, 1711
7.431, 2015
7.657, 2085
7.855, 2165
8.305, 2237
8.671, 2451
8.869, 2534
9.069, 2608
9.519, 2764
9.717, 2848
9.943, 2923
10.169, 3008
10.593, 3167
10.791, 3253
10.989, 3328
11.187, 3403
11.414, 3479
11.612, 3566
11.81, 3642
12.01, 3719
12.236, 3795
12.434, 3871
12.631, 3958
12.829, 4035
13.054, 4111
13.253, 4187
13.45, 4263
13.648, 4350
14.042, 4491
14.24, 4579
14.438, 4655
14.664, 4732
14.862, 4819
15.311, 4895
15.733, 5144
15.931, 5220
16.129, 5307
16.579, 5384
16.777, 5546
16.975, 5623
17.173, 5699
17.539, 5851
17.737, 5927
17.964, 6004
18.161, 6091
18.359, 6168
18.781, 6331
19.231, 6494
19.429, 6570
20.311, 6640
19.627, 6658
19.825, 6734
20.051, 6811
