	#tiempo		   #pulsos		#phi                     #phip          #phipp                 #s		       #v		#a
   1.470000000000e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
   3.450000000000e-01   9.000000000000e+00   6.283180000000e-01   3.173323232323e+00   1.602688501173e+01   4.131190854213e-03   2.086460027380e-02   1.053767690596e-01
   5.420000000000e-01   7.100000000000e+01   4.956730888889e+00   2.197163902989e+01   9.542292283030e+01   3.259050562768e-02   1.444635267689e-01   6.274057182491e-01
   7.400000000000e-01   1.370000000000e+02   9.564396222222e+00   2.327103703704e+01   6.562616197698e+00   6.288590522525e-02   1.530070686746e-01   4.314920154387e-02
   1.190000000000e+00   2.840000000000e+02   1.982692355556e+01   2.280561629630e+01  -1.034268312757e+00   1.303620225107e-01   1.499469273011e-01  -6.800314163314e-03
   1.388000000000e+00   3.630000000000e+02   2.534215933333e+01   2.785472615039e+01   2.550055481867e+01   1.666246977866e-01   1.831448246256e-01   1.676661481037e-01
   1.614000000000e+00   4.330000000000e+02   3.022907711111e+01   2.162352999017e+01  -2.757166442578e+01   1.987561822083e-01   1.421747098303e-01  -1.812836937844e-01
   2.036000000000e+00   5.120000000000e+02   3.574431288889e+01   1.306927909426e+01  -2.027073672016e+01   2.350188574841e-01   8.593051013240e-02  -1.332800940710e-01
   2.262000000000e+00   6.610000000000e+02   4.614646644444e+01   4.602722812193e+01   1.458316328658e+02   3.034130171817e-01   3.026290252103e-01   9.588429870704e-01
   2.488000000000e+00   7.400000000000e+02   5.166170222222e+01   2.440369813176e+01  -9.567933623968e+01   3.396756924575e-01   1.604543153800e-01  -6.290916364175e-01
   2.686000000000e+00   8.100000000000e+02   5.654862000000e+01   2.468140291807e+01   1.402549425806e+00   3.718071768792e-01   1.622802243518e-01   9.221762484077e-03
   2.884000000000e+00   8.800000000000e+02   6.143553777778e+01   2.468140291807e+01   0.000000000000e+00   4.039386613008e-01   1.622802243518e-01   0.000000000000e+00
   3.109000000000e+00   9.600000000000e+02   6.702058666667e+01   2.482243950617e+01   6.268292804588e-01   4.406603577827e-01   1.632075399195e-01   4.121402523220e-03
   3.307000000000e+00   1.029000000000e+03   7.183769133333e+01   2.432881144781e+01  -2.493071001825e+00   4.723328209984e-01   1.599619354325e-01  -1.639194185372e-02
   3.505000000000e+00   1.109000000000e+03   7.742274022222e+01   2.820731762065e+01   1.958841501434e+01   5.090545174803e-01   1.854631135449e-01   1.287938288506e-01
   3.703000000000e+00   1.179000000000e+03   8.230965800000e+01   2.468140291807e+01  -1.780765001304e+01   5.411860019019e-01   1.622802243518e-01  -1.170852989551e-01
