0.146, 0
0.372, 0
0.598, 0
0.796, 0
1.022, 0
1.248, 0
1.446, 0
1.896, 0
2.094, 0
2.347, 0
2.573, 0
2.771, 0
2.997, 0
3.223, 0
3.421, 0
3.619, 0
3.817, 0
4.043, 0
4.241, 0
4.467, 0
4.665, 0
4.89, 0
5.116, 0
5.314, 0
5.512, 0
5.738, 0
5.964, 0
6.414, 3
6.836, 16
7.062, 26
7.288, 41
7.485, 60
7.907, 81
8.133, 131
8.359, 163
10.152, 200
10.77, 657
11.024, 718
11.25, 782
11.448, 848
11.646, 907
12.068, 1028
12.266, 1099
12.492, 1162
12.689, 1235
13.167, 1310
13.365, 1449
14.263, 1767
14.433, 1826
14.659, 1895
14.885, 1976
15.083, 2058
15.504, 2130
15.954, 2365
16.18, 2448
16.378, 2532
16.604, 2607
16.998, 2755
17.588, 2980
18.009, 3067
18.235, 3239
18.461, 3315
18.715, 3402
18.941, 3499
19.167, 3586
19.365, 3662
19.591, 3749
19.789, 3835
20.826, 4233
