	#tiempo		   #pulsos		#phi                     #phip          #phipp                 #s		       #v		#a
   3.902000000000e+00   8.390000000000e+02   5.857320022222e+01   2.080289674523e+01  -1.024333850307e+00   3.851187918539e-01   1.367790462394e-01  -6.734995072640e-03
   4.324000000000e+00   9.680000000000e+02   6.757909155556e+01   2.134097472354e+01   1.275066299310e+00   4.443325274309e-01   1.403169089504e-01   8.383560926510e-03
   4.550000000000e+00   1.029000000000e+03   7.183769133333e+01   1.884336184857e+01  -1.105138440250e+01   4.723328209984e-01   1.238951042807e-01  -7.266285252053e-02
   4.750000000000e+00   1.093000000000e+03   7.630573044444e+01   2.234019555556e+01   1.748416853491e+01   5.017101781839e-01   1.468867859276e-01   1.149584082343e-01
   4.949000000000e+00   1.166000000000e+03   8.140208755556e+01   2.560983472920e+01   1.643034760626e+01   5.352187262236e-01   1.683846635162e-01   1.080295356213e-01
   5.148000000000e+00   1.231000000000e+03   8.593993977778e+01   2.280327749860e+01  -1.410330266632e+01   5.650551046152e-01   1.499315497062e-01  -9.272921512562e-02
   5.346000000000e+00   1.297000000000e+03   9.054760511111e+01   2.327103703704e+01   2.362421911277e+00   5.953505042127e-01   1.530070686746e-01   1.553292408249e-02
   5.800000000000e+00   1.439000000000e+03   1.004610668889e+02   2.183581889378e+01  -3.161273443289e+00   6.605315154681e-01   1.435705093730e-01  -2.078537291082e-02
   6.166000000000e+00   1.564000000000e+03   1.091877057778e+02   2.384327565270e+01   5.484854532563e+00   7.179091662210e-01   1.567695375764e-01   3.606291858838e-02
   6.364000000000e+00   1.642000000000e+03   1.146331284444e+02   2.750213468013e+01   1.847908599714e+01   7.537128202909e-01   1.808265357063e-01   1.214999905551e-01
   6.590000000000e+00   1.711000000000e+03   1.194502331111e+02   2.131462241888e+01  -2.737837283741e+01   7.853852835065e-01   1.401436425471e-01  -1.800128015896e-01
   7.431000000000e+00   2.015000000000e+03   1.406734188889e+02   2.523565490818e+01   4.662345409392e+00   9.249277301377e-01   1.659244311905e-01   3.065492109802e-02
   7.657000000000e+00   2.085000000000e+03   1.455603366667e+02   2.162352999017e+01  -1.598285361952e+01   9.570592145594e-01   1.421747098303e-01  -1.050872626555e-01
   7.855000000000e+00   2.165000000000e+03   1.511453855556e+02   2.820731762065e+01   3.325145267921e+01   9.937809110413e-01   1.854631135449e-01   2.186283015888e-01
   8.305000000000e+00   2.237000000000e+03   1.561719295556e+02   1.117009777778e+01  -3.786048853972e+01   1.026830437875e+00   7.344339296379e-02  -2.489327124025e-01
   8.671000000000e+00   2.451000000000e+03   1.711119353333e+02   4.081968791743e+01   8.100980912472e+01   1.125060975964e+00   2.683894483308e-01   5.326394955383e-01
   8.869000000000e+00   2.534000000000e+03   1.769064235556e+02   2.926509203143e+01  -5.835654487879e+01   1.163159736064e+00   1.924179803029e-01  -3.836942829694e-01
   9.069000000000e+00   2.608000000000e+03   1.820725937778e+02   2.583085111111e+01  -1.717120460157e+01   1.197127305310e+00   1.698378462288e-01  -1.129006703705e-01
   9.519000000000e+00   2.764000000000e+03   1.929634391111e+02   2.420187851852e+01  -3.619939094650e+00   1.268734613449e+00   1.591273514215e-01  -2.380109957160e-02
   9.717000000000e+00   2.848000000000e+03   1.988277404444e+02   2.961768350168e+01   2.735255042002e+01   1.307292394755e+00   1.947362692222e-01   1.798430191951e-01
   9.943000000000e+00   2.923000000000e+03   2.040637237778e+02   2.316806784661e+01  -2.853812236759e+01   1.341718985207e+00   1.523300462468e-01  -1.876381547583e-01
   1.016900000000e+01   3.008000000000e+03   2.099978382222e+02   2.625714355949e+01   1.366847660567e+01   1.380735787719e+00   1.726407190797e-01   8.987023377392e-02
   1.059300000000e+01   3.167000000000e+03   2.210981228889e+02   2.617991666667e+01  -1.821388981648e-01   1.453720159477e+00   1.721329522589e-01  -1.197563256655e-03
   1.079100000000e+01   3.253000000000e+03   2.271020504444e+02   3.032286644220e+01   2.092398876532e+01   1.493195983195e+00   1.993728470608e-01   1.375752262723e-01
   1.098900000000e+01   3.328000000000e+03   2.323380337778e+02   2.644436026936e+01  -1.958841501434e+01   1.527622573647e+00   1.738716689484e-01  -1.287938288506e-01
   1.118700000000e+01   3.403000000000e+03   2.375740171111e+02   2.644436026936e+01   1.202180891311e-12   1.562049164099e+00   1.738716689484e-01   7.990241465105e-15
   1.141400000000e+01   3.479000000000e+03   2.428798135556e+02   2.337355261870e+01  -1.352778700732e+01   1.596934775756e+00   1.536811086247e-01  -8.894519966386e-02
   1.161200000000e+01   3.566000000000e+03   2.489535542222e+02   3.067545791246e+01   3.687830956444e+01   1.636869620680e+00   2.016911359801e-01   2.424748856335e-01
   1.181000000000e+01   3.642000000000e+03   2.542593506667e+02   2.679695173962e+01  -1.958841501434e+01   1.671755232338e+00   1.761899578677e-01  -1.287938288506e-01
   1.201000000000e+01   3.719000000000e+03   2.596349602222e+02   2.687804777778e+01   4.054801907976e-01   1.707099865202e+00   1.767231643191e-01   2.666032257213e-03
   1.223600000000e+01   3.795000000000e+03   2.649407566667e+02   2.347697541790e+01  -1.504899274284e+01   1.741985476860e+00   1.543611135301e-01  -9.894712738509e-02
   1.243400000000e+01   3.871000000000e+03   2.702465531111e+02   2.679695173962e+01   1.676755718042e+01   1.776871088518e+00   1.761899578677e-01   1.102466885737e-01
   1.263100000000e+01   3.958000000000e+03   2.763202937778e+02   3.083117089678e+01   2.047826983333e+01   1.816805933442e+00   2.027149488531e-01   1.346446242915e-01
   1.282900000000e+01   4.035000000000e+03   2.816959033333e+02   2.714954320988e+01  -1.859407922681e+01   1.852150566306e+00   1.785082467870e-01  -1.222560710410e-01
   1.305400000000e+01   4.111000000000e+03   2.870016997778e+02   2.358131753086e+01  -1.585878079561e+01   1.887036177963e+00   1.550471629236e-01  -1.042714838375e-01
   1.325300000000e+01   4.187000000000e+03   2.923074962222e+02   2.666229369068e+01   1.548229226036e+01   1.921921789621e+00   1.753045811950e-01   1.017960717157e-01
   1.345000000000e+01   4.263000000000e+03   2.976132926667e+02   2.693297687535e+01   1.374026318157e+00   1.956807401279e+00   1.770843231360e-01   9.034223051098e-03
   1.364800000000e+01   4.350000000000e+03   3.036870333333e+02   3.067545791246e+01   1.890141937932e+01   1.996742246203e+00   2.016911359801e-01   1.242768325458e-01
   1.404200000000e+01   4.491000000000e+03   3.135306820000e+02   2.498387986464e+01  -1.444562956300e+01   2.061464236252e+00   1.642690102775e-01  -9.498001447358e-02
   1.424000000000e+01   4.579000000000e+03   3.196742357778e+02   3.102804938272e+01   3.052610867717e+01   2.101858102382e+00   2.040094248994e-01   2.007091647571e-01
   1.443800000000e+01   4.655000000000e+03   3.249800322222e+02   2.679695173962e+01  -2.136918001564e+01   2.136743714040e+00   1.761899578677e-01  -1.405023587462e-01
   1.466400000000e+01   4.732000000000e+03   3.303556417778e+02   2.378588298918e+01  -1.332331305502e+01   2.172088346904e+00   1.563921808134e-01  -8.760078342609e-02
   1.486200000000e+01   4.819000000000e+03   3.364293824444e+02   3.067545791246e+01   3.479583294583e+01   2.212023191828e+00   2.016911359801e-01   2.287826018521e-01
   1.531100000000e+01   4.895000000000e+03   3.417351788889e+02   1.181691858451e+01  -4.200120117583e+01   2.246908803486e+00   7.769623977238e-02  -2.761578980127e-01
   1.573300000000e+01   5.144000000000e+03   3.591186435556e+02   4.119304423381e+01   6.961167215474e+01   2.361205083786e+00   2.708442661135e-01   4.576967448842e-01
   1.593100000000e+01   5.220000000000e+03   3.644244400000e+02   2.679695173962e+01  -7.270753784944e+01   2.396090695444e+00   1.761899578677e-01  -4.780520618476e-01
   1.612900000000e+01   5.307000000000e+03   3.704981806667e+02   3.067545791246e+01   1.958841501434e+01   2.436025540368e+00   2.016911359801e-01   1.287938288506e-01
   1.657900000000e+01   5.384000000000e+03   3.758737902222e+02   1.194579901235e+01  -4.162146422247e+01   2.471370173232e+00   7.854362858628e-02  -2.736611275418e-01
   1.677700000000e+01   5.546000000000e+03   3.871835142222e+02   5.711981818182e+01   2.281516119670e+02   2.545731608607e+00   3.755628049285e-01   1.500096850213e+00
   1.697500000000e+01   5.623000000000e+03   3.925591237778e+02   2.714954320988e+01  -1.513650251108e+02   2.581076241471e+00   1.785082467870e-01  -9.952250411186e-01
   1.717300000000e+01   5.699000000000e+03   3.978649202222e+02   2.679695173962e+01  -1.780765001301e+00   2.615961853129e+00   1.761899578677e-01  -1.170852989550e-02
   1.753900000000e+01   5.851000000000e+03   4.084765131111e+02   2.899342319369e+01   6.001288125864e+00   2.685733076445e+00   1.906317576929e-01   3.945846946780e-02
   1.773700000000e+01   5.927000000000e+03   4.137823095556e+02   2.679695173962e+01  -1.109329017205e+01   2.720618688102e+00   1.761899578677e-01  -7.293838295563e-02
   1.796400000000e+01   6.004000000000e+03   4.191579191111e+02   2.368109936368e+01  -1.372622192043e+01   2.755963320966e+00   1.557032284750e-01  -9.024990921888e-02
   1.816100000000e+01   6.091000000000e+03   4.252316597778e+02   3.083117089678e+01   3.629477935586e+01   2.795898165890e+00   2.027149488531e-01   2.386381745081e-01
   1.835900000000e+01   6.168000000000e+03   4.306072693333e+02   2.714954320988e+01  -1.859407922681e+01   2.831242798754e+00   1.785082467870e-01  -1.222560710410e-01
   1.878100000000e+01   6.331000000000e+03   4.419868064444e+02   2.696572775145e+01  -4.355816550431e-01   2.906063255336e+00   1.772996601466e-01  -2.863949384829e-03
   1.923100000000e+01   6.494000000000e+03   4.533663435556e+02   2.528786024691e+01  -3.728594454522e+00   2.980883711918e+00   1.662676812930e-01  -2.451550856348e-02
   1.942900000000e+01   6.570000000000e+03   4.586721400000e+02   2.679695173962e+01   7.621674205583e+00   3.015769323576e+00   1.761899578677e-01   5.011250795282e-02
   2.031100000000e+01   6.640000000000e+03   4.635590577778e+02   5.540723104056e+00  -2.410003246662e+01   3.047900807997e+00   3.643025444632e-02  -1.584577136297e-01
   1.962700000000e+01   6.658000000000e+03   4.648156937778e+02  -1.837187134503e+00   1.078641847743e+01   3.056163189706e+00  -1.207950542168e-02   7.092070156140e-02
   1.982500000000e+01   6.734000000000e+03   4.701214902222e+02   2.679695173962e+01   1.446168630006e+02   3.091048801364e+00   1.761899578677e-01   9.508558751988e-01
   2.005100000000e+01   6.811000000000e+03   4.754970997778e+02   2.378588298918e+01  -1.332331305502e+01   3.126393434227e+00   1.563921808134e-01  -8.760078342609e-02
